Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_vss_0,43.82,12,R0,vss,vss
UBUMP,ma_vccio_0,107.46,12,R0,vccio,vccio
UBUMP,ma_vccio_1,171.1,12,R0,vccio,vccio
UBUMP,ma_vccio_2,234.74,12,R0,vccio,vccio
UBUMP,ma_vccio_3,298.38,12,R0,vccio,vccio
UBUMP,ma_vccio_4,362.02,12,R0,vccio,vccio
UBUMP,ma_vccio_5,12,43.82,R0,vccio,vccio
UBUMP,ma_vccio_6,75.64,43.82,R0,vccio,vccio
UBUMP,ma_vccio_7,139.28,43.82,R0,vccio,vccio
UBUMP,ma_vccio_8,202.92,43.82,R0,vccio,vccio
UBUMP,ma_vccio_9,266.56,43.82,R0,vccio,vccio
UBUMP,ma_vccio_10,330.2,43.82,R0,vccio,vccio
UBUMP,ma_vss_1,43.82,75.64,R0,vss,vss
UBUMP,ma_ucie64b_txdata[50],107.46,75.64,R0,ma_ucie64b_txdata[50],ma_ucie64b_txdata[50]
UBUMP,ma_ucie64b_txdata[35],171.1,75.64,R0,ma_ucie64b_txdata[35],ma_ucie64b_txdata[35]
UBUMP,ma_ucie64b_txdata[29],234.74,75.64,R0,ma_ucie64b_txdata[29],ma_ucie64b_txdata[29]
UBUMP,ma_ucie64b_txdata[14],298.38,75.64,R0,ma_ucie64b_txdata[14],ma_ucie64b_txdata[14]
UBUMP,ma_ucie64b_txdataRD[0],362.02,75.64,R0,ma_ucie64b_txdataRD[0],ma_ucie64b_txdataRD[0]
UBUMP,ma_vdd1p8_0,12,107.46,R0,vdd1p8,vdd1p8
UBUMP,ma_ucie64b_txdataRD[3],75.64,107.46,R0,ma_ucie64b_txdataRD[3],ma_ucie64b_txdataRD[3]
UBUMP,ma_ucie64b_txdata[49],139.28,107.46,R0,ma_ucie64b_txdata[49],ma_ucie64b_txdata[49]
UBUMP,ma_ucie64b_txdata[34],202.92,107.46,R0,ma_ucie64b_txdata[34],ma_ucie64b_txdata[34]
UBUMP,ma_ucie64b_txdata[28],266.56,107.46,R0,ma_ucie64b_txdata[28],ma_ucie64b_txdata[28]
UBUMP,ma_ucie64b_txdata[13],330.2,107.46,R0,ma_ucie64b_txdata[13],ma_ucie64b_txdata[13]
UBUMP,ma_vss_2,43.82,139.28,R0,vss,vss
UBUMP,ma_ucie64b_txdata[51],107.46,139.28,R0,ma_ucie64b_txdata[51],ma_ucie64b_txdata[51]
UBUMP,ma_ucie64b_txdata[36],171.1,139.28,R0,ma_ucie64b_txdata[36],ma_ucie64b_txdata[36]
UBUMP,ma_ucie64b_txdata[30],234.74,139.28,R0,ma_ucie64b_txdata[30],ma_ucie64b_txdata[30]
UBUMP,ma_ucie64b_txdata[15],298.38,139.28,R0,ma_ucie64b_txdata[15],ma_ucie64b_txdata[15]
UBUMP,ma_vss_3,362.02,139.28,R0,vss,vss
UBUMP,ma_tap_tdi,12,171.1,R0,ma_tap_tdi,ma_tap_tdi
UBUMP,ma_ucie64b_txdata[63],75.64,171.1,R0,ma_ucie64b_txdata[63],ma_ucie64b_txdata[63]
UBUMP,ma_vss_4,139.28,171.1,R0,vss,vss
UBUMP,ma_ucie64b_txdata[33],202.92,171.1,R0,ma_ucie64b_txdata[33],ma_ucie64b_txdata[33]
UBUMP,ma_vss_5,266.56,171.1,R0,vss,vss
UBUMP,ma_ucie64b_txdata[12],330.2,171.1,R0,ma_ucie64b_txdata[12],ma_ucie64b_txdata[12]
UBUMP,ma_vss_6,43.82,202.92,R0,vss,vss
UBUMP,ma_ucie64b_txdata[52],107.46,202.92,R0,ma_ucie64b_txdata[52],ma_ucie64b_txdata[52]
UBUMP,ma_vss_7,171.1,202.92,R0,vss,vss
UBUMP,ma_ucie64b_txdata[31],234.74,202.92,R0,ma_ucie64b_txdata[31],ma_ucie64b_txdata[31]
UBUMP,ma_vss_8,298.38,202.92,R0,vss,vss
UBUMP,ma_ucie64b_txdata[0],362.02,202.92,R0,ma_ucie64b_txdata[0],ma_ucie64b_txdata[0]
UBUMP,ma_tap_tck,12,234.74,R0,ma_tap_tck,ma_tap_tck
