Reference_name,C4_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
C4BUMP,db_0,114,114,R0,,
C4BUMP,db_1,232,114,R0,,
C4BUMP,db_2,350,114,R0,,
C4BUMP,db_3,468,114,R0,,
C4BUMP,db_4,586,114,R0,,
C4BUMP,db_5,704,114,R0,,
C4BUMP,db_6,822,114,R0,,
C4BUMP,db_7,940,114,R0,,
C4BUMP,db_8,1058,114,R0,,
C4BUMP,db_9,1176,114,R0,,
C4BUMP,db_10,1294,114,R0,,
C4BUMP,db_11,1412,114,R0,,
C4BUMP,db_12,1530,114,R0,,
C4BUMP,db_13,1648,114,R0,,
C4BUMP,db_14,1766,114,R0,,
C4BUMP,db_15,1884,114,R0,,
C4BUMP,db_16,2002,114,R0,,
C4BUMP,db_17,2120,114,R0,,
C4BUMP,db_18,2238,114,R0,,
C4BUMP,db_19,114,232,R0,,
C4BUMP,db_20,232,232,R0,,
C4BUMP,db_21,350,232,R0,,
C4BUMP,db_22,468,232,R0,,
C4BUMP,db_23,586,232,R0,,
C4BUMP,db_24,704,232,R0,,
C4BUMP,db_25,822,232,R0,,
C4BUMP,db_26,940,232,R0,,
C4BUMP,db_27,1058,232,R0,,
C4BUMP,db_28,1176,232,R0,,
C4BUMP,db_29,1294,232,R0,,
C4BUMP,db_30,1412,232,R0,,
C4BUMP,db_31,1530,232,R0,,
C4BUMP,db_32,1648,232,R0,,
C4BUMP,db_33,1766,232,R0,,
C4BUMP,db_34,1884,232,R0,,
C4BUMP,db_35,2002,232,R0,,
C4BUMP,db_36,2120,232,R0,,
C4BUMP,db_37,2238,232,R0,,
C4BUMP,db_38,114,350,R0,,
C4BUMP,db_39,232,350,R0,,
C4BUMP,db_40,350,350,R0,,
C4BUMP,db_41,468,350,R0,,
C4BUMP,db_42,586,350,R0,,
C4BUMP,db_43,704,350,R0,,
C4BUMP,db_44,822,350,R0,,
C4BUMP,db_45,940,350,R0,,
C4BUMP,db_46,1058,350,R0,,
C4BUMP,db_47,1176,350,R0,,
C4BUMP,db_48,1294,350,R0,,
C4BUMP,db_49,1412,350,R0,,
C4BUMP,db_50,1530,350,R0,,
C4BUMP,db_51,1648,350,R0,,
C4BUMP,db_52,1766,350,R0,,
C4BUMP,db_53,1884,350,R0,,
C4BUMP,db_54,2002,350,R0,,
C4BUMP,db_55,2120,350,R0,,
