Reference_name,C4_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,vccio_0,114,114,R0,vccio_0,vccio
UBUMP,vss_0,232,114,R0,vss_0,vss
UBUMP,er_i2c_sda,350,114,R0,er_i2c_sda,er_i2c_sda
UBUMP,er_i2c_scl,468,114,R0,er_i2c_scl,er_i2c_scl
UBUMP,vdd1p8_0,586,114,R0,vdd1p8_0,vdd1p8
UBUMP,er_tap_tdi,704,114,R0,er_tap_tdi,er_tap_tdi
UBUMP,er_tap_tdo,822,114,R0,er_tap_tdo,er_tap_tdo
UBUMP,er_tap_tck,940,114,R0,er_tap_tck,er_tap_tck
UBUMP,vdd1p8_1,1058,114,R0,vdd1p8_1,vdd1p8
UBUMP,vss_1,1176,114,R0,vss_1,vss
UBUMP,vss_2,1294,114,R0,vss_2,vss
UBUMP,vccio_1,1412,114,R0,vccio_1,vccio
UBUMP,vccio_2,1530,114,R0,vccio_2,vccio
UBUMP,vss_3,173,173,R0,vss_3,vss
UBUMP,vccio_3,291,173,R0,vccio_3,vccio
UBUMP,vss_4,409,173,R0,vss_4,vss
UBUMP,vdd1p8_2,527,173,R0,vdd1p8_2,vdd1p8
UBUMP,vss_5,645,173,R0,vss_5,vss
UBUMP,vss_6,763,173,R0,vss_6,vss
UBUMP,er_tap_rst,881,173,R0,er_tap_rst,er_tap_rst
UBUMP,er_tap_tms,999,173,R0,er_tap_tms,er_tap_tms
UBUMP,vss_7,1117,173,R0,vss_7,vss
UBUMP,vss_8,1235,173,R0,vss_8,vss
UBUMP,vss_9,1353,173,R0,vss_9,vss
UBUMP,vss_10,1471,173,R0,vss_10,vss
UBUMP,vss_11,1589,173,R0,vss_11,vss
UBUMP,vss_12,114,232,R0,vss_12,vss
UBUMP,vss_13,232,232,R0,vss_13,vss
UBUMP,vss_14,350,232,R0,vss_14,vss
UBUMP,vss_15,468,232,R0,vss_15,vss
UBUMP,vss_16,586,232,R0,vss_16,vss
UBUMP,vss_17,704,232,R0,vss_17,vss
UBUMP,vddc_0,822,232,R0,vddc_0,vddc
