Reference_name,C4_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
C4BUMP,vss_0,173,114,R0,vss_0,vss
C4BUMP,vccio_0,291,114,R0,vccio_0,vccio
C4BUMP,vccio_1,409,114,R0,vccio_1,vccio
C4BUMP,vccio_2,527,114,R0,vccio_2,vccio
C4BUMP,vccio_3,645,114,R0,vccio_3,vccio
C4BUMP,vccio_4,763,114,R0,vccio_4,vccio
C4BUMP,vccio_5,114,173,R0,vccio_5,vccio
C4BUMP,vccio_6,232,173,R0,vccio_6,vccio
C4BUMP,vccio_7,350,173,R0,vccio_7,vccio
C4BUMP,vccio_8,468,173,R0,vccio_8,vccio
C4BUMP,vccio_9,586,173,R0,vccio_9,vccio
C4BUMP,vccio_10,704,173,R0,vccio_10,vccio
C4BUMP,vss_1,173,232,R0,vss_1,vss
C4BUMP,ma_ucie64b_txdata[50],291,232,R0,ma_ucie64b_txdata[50],ma_ucie64b_txdata[50]
C4BUMP,ma_ucie64b_txdata[35],409,232,R0,ma_ucie64b_txdata[35],ma_ucie64b_txdata[35]
C4BUMP,ma_ucie64b_txdata[29],527,232,R0,ma_ucie64b_txdata[29],ma_ucie64b_txdata[29]
C4BUMP,ma_ucie64b_txdata[14],645,232,R0,ma_ucie64b_txdata[14],ma_ucie64b_txdata[14]
C4BUMP,ma_ucie64b_txdataRD[0],763,232,R0,ma_ucie64b_txdataRD[0],ma_ucie64b_txdataRD[0]
C4BUMP,vdd1p8_0,114,291,R0,vdd1p8_0,vdd1p8
C4BUMP,ma_ucie64b_txdataRD[3],232,291,R0,ma_ucie64b_txdataRD[3],ma_ucie64b_txdataRD[3]
C4BUMP,ma_ucie64b_txdata[49],350,291,R0,ma_ucie64b_txdata[49],ma_ucie64b_txdata[49]
C4BUMP,ma_ucie64b_txdata[34],468,291,R0,ma_ucie64b_txdata[34],ma_ucie64b_txdata[34]
C4BUMP,ma_ucie64b_txdata[28],586,291,R0,ma_ucie64b_txdata[28],ma_ucie64b_txdata[28]
C4BUMP,ma_ucie64b_txdata[13],704,291,R0,ma_ucie64b_txdata[13],ma_ucie64b_txdata[13]
C4BUMP,vss_2,173,350,R0,vss_2,vss
C4BUMP,ma_ucie64b_txdata[51],291,350,R0,ma_ucie64b_txdata[51],ma_ucie64b_txdata[51]
C4BUMP,ma_ucie64b_txdata[36],409,350,R0,ma_ucie64b_txdata[36],ma_ucie64b_txdata[36]
C4BUMP,ma_ucie64b_txdata[30],527,350,R0,ma_ucie64b_txdata[30],ma_ucie64b_txdata[30]
C4BUMP,ma_ucie64b_txdata[15],645,350,R0,ma_ucie64b_txdata[15],ma_ucie64b_txdata[15]
C4BUMP,vss_3,763,350,R0,vss_3,vss
C4BUMP,ma_tap_tdi,114,409,R0,ma_tap_tdi,ma_tap_tdi
C4BUMP,ma_ucie64b_txdata[63],232,409,R0,ma_ucie64b_txdata[63],ma_ucie64b_txdata[63]
C4BUMP,vss_4,350,409,R0,vss_4,vss
C4BUMP,ma_ucie64b_txdata[33],468,409,R0,ma_ucie64b_txdata[33],ma_ucie64b_txdata[33]
C4BUMP,vss_5,586,409,R0,vss_5,vss
