Reference_name,C4_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,vccfwdio_0,173,114,R0,vccfwdio_0,vccfwdio
UBUMP,vccfwdio_1,291,114,R0,vccfwdio_1,vccfwdio
UBUMP,vccio_0,409,114,R0,vccio_0,vccio
UBUMP,vccio_1,527,114,R0,vccio_1,vccio
UBUMP,vccio_2,645,114,R0,vccio_2,vccio
UBUMP,vss_0,763,114,R0,vss_0,vss
UBUMP,vccfwdio_2,114,173,R0,vccfwdio_2,vccfwdio
UBUMP,vccfwdio_3,232,173,R0,vccfwdio_3,vccfwdio
UBUMP,vccfwdio_4,350,173,R0,vccfwdio_4,vccfwdio
UBUMP,vccio_3,468,173,R0,vccio_3,vccio
UBUMP,vccio_4,586,173,R0,vccio_4,vccio
UBUMP,vccio_5,704,173,R0,vccio_5,vccio
UBUMP,ve_ucie32b_rxdata[5],173,232,R0,ve_ucie32b_rxdata[5],ve_ucie32b_rxdata[5]
UBUMP,ve_ucie32b_rxdata[22],291,232,R0,ve_ucie32b_rxdata[22],ve_ucie32b_rxdata[22]
UBUMP,ve_ucie32b_txdata[31],409,232,R0,ve_ucie32b_txdata[31],ve_ucie32b_txdata[31]
UBUMP,ve_ucie32b_txdata[14],527,232,R0,ve_ucie32b_txdata[14],ve_ucie32b_txdata[14]
UBUMP,ve_ucie32b_txdataRD[0],645,232,R0,ve_ucie32b_txdataRD[0],ve_ucie32b_txdataRD[0]
UBUMP,vss_1,763,232,R0,vss_1,vss
UBUMP,ve_ucie32b_rxdata[4],114,291,R0,ve_ucie32b_rxdata[4],ve_ucie32b_rxdata[4]
UBUMP,ve_ucie32b_rxdata[21],232,291,R0,ve_ucie32b_rxdata[21],ve_ucie32b_rxdata[21]
UBUMP,vss_2,350,291,R0,vss_2,vss
UBUMP,ve_ucie32b_txdata[30],468,291,R0,ve_ucie32b_txdata[30],ve_ucie32b_txdata[30]
UBUMP,ve_ucie32b_txdata[13],586,291,R0,ve_ucie32b_txdata[13],ve_ucie32b_txdata[13]
UBUMP,ve_gpio[0],704,291,R0,ve_gpio[0],ve_gpio[0]
UBUMP,ve_ucie32b_rxdata[6],173,350,R0,ve_ucie32b_rxdata[6],ve_ucie32b_rxdata[6]
UBUMP,ve_ucie32b_rxdata[23],291,350,R0,ve_ucie32b_rxdata[23],ve_ucie32b_rxdata[23]
UBUMP,ve_ucie32b_txdataRD[1],409,350,R0,ve_ucie32b_txdataRD[1],ve_ucie32b_txdataRD[1]
UBUMP,ve_ucie32b_txdata[15],527,350,R0,ve_ucie32b_txdata[15],ve_ucie32b_txdata[15]
UBUMP,vss_3,645,350,R0,vss_3,vss
UBUMP,vss_4,763,350,R0,vss_4,vss
UBUMP,vss_5,114,409,R0,vss_5,vss
UBUMP,vss_6,232,409,R0,vss_6,vss
UBUMP,ve_ucie32b_rxckp,350,409,R0,ve_ucie32b_rxckp,ve_ucie32b_rxckp
UBUMP,ve_ucie32b_txdata[29],468,409,R0,ve_ucie32b_txdata[29],ve_ucie32b_txdata[29]
UBUMP,ve_ucie32b_txdata[12],586,409,R0,ve_ucie32b_txdata[12],ve_ucie32b_txdata[12]
UBUMP,ve_gpio[1],704,409,R0,ve_gpio[1],ve_gpio[1]
UBUMP,ve_ucie32b_rxdata[7],173,468,R0,ve_ucie32b_rxdata[7],ve_ucie32b_rxdata[7]
UBUMP,vss_7,291,468,R0,vss_7,vss
UBUMP,vss_8,409,468,R0,vss_8,vss
UBUMP,vss_9,527,468,R0,vss_9,vss
UBUMP,ve_ucie32b_txdata[0],645,468,R0,ve_ucie32b_txdata[0],ve_ucie32b_txdata[0]
UBUMP,vss_10,763,468,R0,vss_10,vss
UBUMP,ve_ucie32b_rxdata[3],114,527,R0,ve_ucie32b_rxdata[3],ve_ucie32b_rxdata[3]
UBUMP,ve_ucie32b_rxdata[20],232,527,R0,ve_ucie32b_rxdata[20],ve_ucie32b_rxdata[20]
UBUMP,ve_ucie32b_rxckn,350,527,R0,ve_ucie32b_rxckn,ve_ucie32b_rxckn
UBUMP,ve_ucie32b_txdata[28],468,527,R0,ve_ucie32b_txdata[28],ve_ucie32b_txdata[28]
UBUMP,ve_ucie32b_txdata[11],586,527,R0,ve_ucie32b_txdata[11],ve_ucie32b_txdata[11]
UBUMP,ve_gpio[3],704,527,R0,ve_gpio[3],ve_gpio[3]
UBUMP,ve_ucie32b_rxdata[8],173,586,R0,ve_ucie32b_rxdata[8],ve_ucie32b_rxdata[8]
UBUMP,ve_ucie32b_rxdata[24],291,586,R0,ve_ucie32b_rxdata[24],ve_ucie32b_rxdata[24]
UBUMP,ve_ucie32b_txvldRD,409,586,R0,ve_ucie32b_txvldRD,ve_ucie32b_txvldRD
UBUMP,ve_ucie32b_txdata[16],527,586,R0,ve_ucie32b_txdata[16],ve_ucie32b_txdata[16]
UBUMP,ve_ucie32b_txdata[1],645,586,R0,ve_ucie32b_txdata[1],ve_ucie32b_txdata[1]
UBUMP,vss_11,763,586,R0,vss_11,vss
UBUMP,ve_ucie32b_rxdata[2],114,645,R0,ve_ucie32b_rxdata[2],ve_ucie32b_rxdata[2]
UBUMP,ve_ucie32b_rxdata[19],232,645,R0,ve_ucie32b_rxdata[19],ve_ucie32b_rxdata[19]
UBUMP,ve_ucie32b_rxckRD,350,645,R0,ve_ucie32b_rxckRD,ve_ucie32b_rxckRD
UBUMP,ve_ucie32b_txdata[27],468,645,R0,ve_ucie32b_txdata[27],ve_ucie32b_txdata[27]
UBUMP,ve_ucie32b_txdata[10],586,645,R0,ve_ucie32b_txdata[10],ve_ucie32b_txdata[10]
UBUMP,vss_12,704,645,R0,vss_12,vss
UBUMP,vccfwdio_5,173,704,R0,vccfwdio_5,vccfwdio
UBUMP,vccfwdio_6,291,704,R0,vccfwdio_6,vccfwdio
UBUMP,vccio_6,409,704,R0,vccio_6,vccio
UBUMP,vccio_7,527,704,R0,vccio_7,vccio
UBUMP,vccio_8,645,704,R0,vccio_8,vccio
UBUMP,vss_13,763,704,R0,vss_13,vss
UBUMP,vss_14,114,763,R0,vss_14,vss
UBUMP,ve_ucie32b_rxdata[18],232,763,R0,ve_ucie32b_rxdata[18],ve_ucie32b_rxdata[18]
UBUMP,ve_ucie32b_rxtrk,350,763,R0,ve_ucie32b_rxtrk,ve_ucie32b_rxtrk
UBUMP,vss_15,468,763,R0,vss_15,vss
UBUMP,ve_ucie32b_txdata[9],586,763,R0,ve_ucie32b_txdata[9],ve_ucie32b_txdata[9]
UBUMP,vddc_0,704,763,R0,vddc_0,vddc
UBUMP,ve_ucie32b_rxdata[9],173,822,R0,ve_ucie32b_rxdata[9],ve_ucie32b_rxdata[9]
UBUMP,ve_ucie32b_rxdata[25],291,822,R0,ve_ucie32b_rxdata[25],ve_ucie32b_rxdata[25]
UBUMP,ve_ucie32b_txvld,409,822,R0,ve_ucie32b_txvld,ve_ucie32b_txvld
UBUMP,ve_ucie32b_txdata[17],527,822,R0,ve_ucie32b_txdata[17],ve_ucie32b_txdata[17]
UBUMP,ve_ucie32b_txdata[2],645,822,R0,ve_ucie32b_txdata[2],ve_ucie32b_txdata[2]
UBUMP,vss_16,763,822,R0,vss_16,vss
UBUMP,ve_ucie32b_rxdata[1],114,881,R0,ve_ucie32b_rxdata[1],ve_ucie32b_rxdata[1]
UBUMP,ve_ucie32b_rxdata[17],232,881,R0,ve_ucie32b_rxdata[17],ve_ucie32b_rxdata[17]
UBUMP,vss_17,350,881,R0,vss_17,vss
UBUMP,ve_ucie32b_txdata[26],468,881,R0,ve_ucie32b_txdata[26],ve_ucie32b_txdata[26]
UBUMP,vss_18,586,881,R0,vss_18,vss
UBUMP,ve_gpio[2],704,881,R0,ve_gpio[2],ve_gpio[2]
UBUMP,vss_19,173,940,R0,vss_19,vss
UBUMP,ve_ucie32b_rxdata[26],291,940,R0,ve_ucie32b_rxdata[26],ve_ucie32b_rxdata[26]
UBUMP,vss_20,409,940,R0,vss_20,vss
UBUMP,ve_ucie32b_txdata[18],527,940,R0,ve_ucie32b_txdata[18],ve_ucie32b_txdata[18]
UBUMP,ve_ucie32b_txdata[3],645,940,R0,ve_ucie32b_txdata[3],ve_ucie32b_txdata[3]
UBUMP,vss_21,763,940,R0,vss_21,vss
UBUMP,ve_ucie32b_rxdata[0],114,999,R0,ve_ucie32b_rxdata[0],ve_ucie32b_rxdata[0]
UBUMP,ve_ucie32b_rxdata[16],232,999,R0,ve_ucie32b_rxdata[16],ve_ucie32b_rxdata[16]
UBUMP,ve_ucie32b_rxvld,350,999,R0,ve_ucie32b_rxvld,ve_ucie32b_rxvld
UBUMP,ve_ucie32b_txdata[25],468,999,R0,ve_ucie32b_txdata[25],ve_ucie32b_txdata[25]
UBUMP,ve_ucie32b_txdata[8],586,999,R0,ve_ucie32b_txdata[8],ve_ucie32b_txdata[8]
UBUMP,ve_gpio[4],704,999,R0,ve_gpio[4],ve_gpio[4]
UBUMP,ve_ucie32b_rxdata[10],173,1058,R0,ve_ucie32b_rxdata[10],ve_ucie32b_rxdata[10]
UBUMP,ve_ucie32b_rxdata[27],291,1058,R0,ve_ucie32b_rxdata[27],ve_ucie32b_rxdata[27]
UBUMP,ve_ucie32b_txtrk,409,1058,R0,ve_ucie32b_txtrk,ve_ucie32b_txtrk
UBUMP,ve_ucie32b_txdata[19],527,1058,R0,ve_ucie32b_txdata[19],ve_ucie32b_txdata[19]
UBUMP,vss_22,645,1058,R0,vss_22,vss
UBUMP,vss_23,763,1058,R0,vss_23,vss
UBUMP,vss_24,114,1117,R0,vss_24,vss
UBUMP,vss_25,232,1117,R0,vss_25,vss
UBUMP,ve_ucie32b_rxvldRD,350,1117,R0,ve_ucie32b_rxvldRD,ve_ucie32b_rxvldRD
UBUMP,ve_ucie32b_txdata[24],468,1117,R0,ve_ucie32b_txdata[24],ve_ucie32b_txdata[24]
UBUMP,ve_ucie32b_txdata[7],586,1117,R0,ve_ucie32b_txdata[7],ve_ucie32b_txdata[7]
UBUMP,ve_gpio[6],704,1117,R0,ve_gpio[6],ve_gpio[6]
UBUMP,ve_ucie32b_rxdata[11],173,1176,R0,ve_ucie32b_rxdata[11],ve_ucie32b_rxdata[11]
UBUMP,ve_ucie32b_rxdata[28],291,1176,R0,ve_ucie32b_rxdata[28],ve_ucie32b_rxdata[28]
UBUMP,ve_ucie32b_txckRD,409,1176,R0,ve_ucie32b_txckRD,ve_ucie32b_txckRD
UBUMP,vss_26,527,1176,R0,vss_26,vss
UBUMP,ve_ucie32b_txdata[4],645,1176,R0,ve_ucie32b_txdata[4],ve_ucie32b_txdata[4]
UBUMP,vss_27,763,1176,R0,vss_27,vss
UBUMP,ve_ucie32b_rxdataRD[0],114,1235,R0,ve_ucie32b_rxdataRD[0],ve_ucie32b_rxdataRD[0]
UBUMP,ve_ucie32b_rxdata[15],232,1235,R0,ve_ucie32b_rxdata[15],ve_ucie32b_rxdata[15]
UBUMP,ve_ucie32b_rxdataRD[1],350,1235,R0,ve_ucie32b_rxdataRD[1],ve_ucie32b_rxdataRD[1]
UBUMP,vss_28,468,1235,R0,vss_28,vss
UBUMP,ve_ucie32b_txdata[6],586,1235,R0,ve_ucie32b_txdata[6],ve_ucie32b_txdata[6]
UBUMP,ve_gpio[5],704,1235,R0,ve_gpio[5],ve_gpio[5]
UBUMP,ve_ucie32b_rxdata[12],173,1294,R0,ve_ucie32b_rxdata[12],ve_ucie32b_rxdata[12]
UBUMP,ve_ucie32b_rxdata[29],291,1294,R0,ve_ucie32b_rxdata[29],ve_ucie32b_rxdata[29]
UBUMP,ve_ucie32b_txckn,409,1294,R0,ve_ucie32b_txckn,ve_ucie32b_txckn
UBUMP,ve_ucie32b_txdata[20],527,1294,R0,ve_ucie32b_txdata[20],ve_ucie32b_txdata[20]
UBUMP,vccio_9,645,1294,R0,vccio_9,vccio
UBUMP,vss_29,763,1294,R0,vss_29,vss
UBUMP,vccio_10,114,1353,R0,vccio_10,vccio
UBUMP,ve_ucie32b_rxdata[14],232,1353,R0,ve_ucie32b_rxdata[14],ve_ucie32b_rxdata[14]
UBUMP,vss_30,350,1353,R0,vss_30,vss
UBUMP,ve_ucie32b_txdata[23],468,1353,R0,ve_ucie32b_txdata[23],ve_ucie32b_txdata[23]
UBUMP,ve_ucie32b_txdata[5],586,1353,R0,ve_ucie32b_txdata[5],ve_ucie32b_txdata[5]
UBUMP,ve_gpio[7],704,1353,R0,ve_gpio[7],ve_gpio[7]
UBUMP,ve_ucie32b_rxdata[13],173,1412,R0,ve_ucie32b_rxdata[13],ve_ucie32b_rxdata[13]
UBUMP,ve_ucie32b_rxdata[30],291,1412,R0,ve_ucie32b_rxdata[30],ve_ucie32b_rxdata[30]
UBUMP,ve_ucie32b_txckp,409,1412,R0,ve_ucie32b_txckp,ve_ucie32b_txckp
UBUMP,ve_ucie32b_txdata[21],527,1412,R0,ve_ucie32b_txdata[21],ve_ucie32b_txdata[21]
UBUMP,vss_31,645,1412,R0,vss_31,vss
UBUMP,vss_32,763,1412,R0,vss_32,vss
UBUMP,vccio_11,114,1471,R0,vccio_11,vccio
UBUMP,vccio_12,232,1471,R0,vccio_12,vccio
UBUMP,ve_ucie32b_rxdata[31],350,1471,R0,ve_ucie32b_rxdata[31],ve_ucie32b_rxdata[31]
UBUMP,ve_ucie32b_txdata[22],468,1471,R0,ve_ucie32b_txdata[22],ve_ucie32b_txdata[22]
UBUMP,vss_33,586,1471,R0,vss_33,vss
UBUMP,vss_34,704,1471,R0,vss_34,vss
UBUMP,ve_ucie32b_txcksbRD,173,1530,R0,ve_ucie32b_txcksbRD,ve_ucie32b_txcksbRD
UBUMP,ve_ucie32b_txcksb,291,1530,R0,ve_ucie32b_txcksb,ve_ucie32b_txcksb
UBUMP,vss_35,409,1530,R0,vss_35,vss
UBUMP,ve_ucie32b_txdatasb,527,1530,R0,ve_ucie32b_txdatasb,ve_ucie32b_txdatasb
UBUMP,ve_ucie32b_txdatasbRD,645,1530,R0,ve_ucie32b_txdatasbRD,ve_ucie32b_txdatasbRD
UBUMP,vss_36,763,1530,R0,vss_36,vss
UBUMP,ve_ucie32b_rxdatasbRD,114,1589,R0,ve_ucie32b_rxdatasbRD,ve_ucie32b_rxdatasbRD
UBUMP,ve_ucie32b_rxdatasb,232,1589,R0,ve_ucie32b_rxdatasb,ve_ucie32b_rxdatasb
