Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ve_vccfwdio_0,43.82,12,R0,vccfwdio,vccfwdio
UBUMP,ve_vccfwdio_1,107.46,12,R0,vccfwdio,vccfwdio
UBUMP,ve_vccio_0,171.1,12,R0,vccio,vccio
UBUMP,ve_vccio_1,234.74,12,R0,vccio,vccio
UBUMP,ve_vccio_2,298.38,12,R0,vccio,vccio
UBUMP,ve_vss_0,362.02,12,R0,vss,vss
UBUMP,ve_vccfwdio_2,12,43.82,R0,vccfwdio,vccfwdio
UBUMP,ve_vccfwdio_3,75.64,43.82,R0,vccfwdio,vccfwdio
UBUMP,ve_vccfwdio_4,139.28,43.82,R0,vccfwdio,vccfwdio
UBUMP,ve_vccio_3,202.92,43.82,R0,vccio,vccio
UBUMP,ve_vccio_4,266.56,43.82,R0,vccio,vccio
UBUMP,ve_vccio_5,330.2,43.82,R0,vccio,vccio
UBUMP,ve_ucie32b_rxdata[5],43.82,75.64,R0,ve_ucie32b_rxdata[5],ve_ucie32b_rxdata[5]
UBUMP,ve_ucie32b_rxdata[22],107.46,75.64,R0,ve_ucie32b_rxdata[22],ve_ucie32b_rxdata[22]
UBUMP,ve_ucie32b_txdata[31],171.1,75.64,R0,ve_ucie32b_txdata[31],ve_ucie32b_txdata[31]
UBUMP,ve_ucie32b_txdata[14],234.74,75.64,R0,ve_ucie32b_txdata[14],ve_ucie32b_txdata[14]
UBUMP,ve_ucie32b_txdataRD[0],298.38,75.64,R0,ve_ucie32b_txdataRD[0],ve_ucie32b_txdataRD[0]
UBUMP,ve_vss_1,362.02,75.64,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[4],12,107.46,R0,ve_ucie32b_rxdata[4],ve_ucie32b_rxdata[4]
UBUMP,ve_ucie32b_rxdata[21],75.64,107.46,R0,ve_ucie32b_rxdata[21],ve_ucie32b_rxdata[21]
UBUMP,ve_vss_2,139.28,107.46,R0,vss,vss
UBUMP,ve_ucie32b_txdata[30],202.92,107.46,R0,ve_ucie32b_txdata[30],ve_ucie32b_txdata[30]
UBUMP,ve_ucie32b_txdata[13],266.56,107.46,R0,ve_ucie32b_txdata[13],ve_ucie32b_txdata[13]
UBUMP,ve_gpio[0],330.2,107.46,R0,ve_gpio[0],ve_gpio[0]
UBUMP,ve_ucie32b_rxdata[6],43.82,139.28,R0,ve_ucie32b_rxdata[6],ve_ucie32b_rxdata[6]
UBUMP,ve_ucie32b_rxdata[23],107.46,139.28,R0,ve_ucie32b_rxdata[23],ve_ucie32b_rxdata[23]
UBUMP,ve_ucie32b_txdataRD[1],171.1,139.28,R0,ve_ucie32b_txdataRD[1],ve_ucie32b_txdataRD[1]
UBUMP,ve_ucie32b_txdata[15],234.74,139.28,R0,ve_ucie32b_txdata[15],ve_ucie32b_txdata[15]
UBUMP,ve_vss_3,298.38,139.28,R0,vss,vss
UBUMP,ve_vss_4,362.02,139.28,R0,vss,vss
UBUMP,ve_vss_5,12,171.1,R0,vss,vss
UBUMP,ve_vss_6,75.64,171.1,R0,vss,vss
UBUMP,ve_ucie32b_rxckp,139.28,171.1,R0,ve_ucie32b_rxckp,ve_ucie32b_rxckp
UBUMP,ve_ucie32b_txdata[29],202.92,171.1,R0,ve_ucie32b_txdata[29],ve_ucie32b_txdata[29]
UBUMP,ve_ucie32b_txdata[12],266.56,171.1,R0,ve_ucie32b_txdata[12],ve_ucie32b_txdata[12]
UBUMP,ve_gpio[1],330.2,171.1,R0,ve_gpio[1],ve_gpio[1]
UBUMP,ve_ucie32b_rxdata[7],43.82,202.92,R0,ve_ucie32b_rxdata[7],ve_ucie32b_rxdata[7]
UBUMP,ve_vss_7,107.46,202.92,R0,vss,vss
UBUMP,ve_vss_8,171.1,202.92,R0,vss,vss
UBUMP,ve_vss_9,234.74,202.92,R0,vss,vss
UBUMP,ve_ucie32b_txdata[0],298.38,202.92,R0,ve_ucie32b_txdata[0],ve_ucie32b_txdata[0]
UBUMP,ve_vss_10,362.02,202.92,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[3],12,234.74,R0,ve_ucie32b_rxdata[3],ve_ucie32b_rxdata[3]
UBUMP,ve_ucie32b_rxdata[20],75.64,234.74,R0,ve_ucie32b_rxdata[20],ve_ucie32b_rxdata[20]
UBUMP,ve_ucie32b_rxckn,139.28,234.74,R0,ve_ucie32b_rxckn,ve_ucie32b_rxckn
UBUMP,ve_ucie32b_txdata[28],202.92,234.74,R0,ve_ucie32b_txdata[28],ve_ucie32b_txdata[28]
UBUMP,ve_ucie32b_txdata[11],266.56,234.74,R0,ve_ucie32b_txdata[11],ve_ucie32b_txdata[11]
UBUMP,ve_gpio[3],330.2,234.74,R0,ve_gpio[3],ve_gpio[3]
UBUMP,ve_ucie32b_rxdata[8],43.82,266.56,R0,ve_ucie32b_rxdata[8],ve_ucie32b_rxdata[8]
UBUMP,ve_ucie32b_rxdata[24],107.46,266.56,R0,ve_ucie32b_rxdata[24],ve_ucie32b_rxdata[24]
UBUMP,ve_ucie32b_txvldRD,171.1,266.56,R0,ve_ucie32b_txvldRD,ve_ucie32b_txvldRD
UBUMP,ve_ucie32b_txdata[16],234.74,266.56,R0,ve_ucie32b_txdata[16],ve_ucie32b_txdata[16]
