File: Generated from C:/Users/Vijetha/Internship/BGA_8x8_100/BGA_data2.xlsx
Date: Thu May 08 10:38:47 2025
Units: microns, 2 decimal places
Name: BGA
RefDes: BGA
Origin: (0.00 0.00)
Rotation: 0.000
Pad Layer: BOTTOM
Extents: ((-3550.00 -3550.00) (3550.00 3550.00))

Pin Number	Padstack	X Coord	Y Coord	Rotation	Pin Use	Net Name

A1	BGA_PAD	-2925.00	2925.00	0.000	POWER	VDD
A2	BGA_PAD	-2275.00	2925.00	0.000	POWER	VDD
A3	BGA_PAD	-1625.00	2925.00	0.000	POWER	VDD
A4	BGA_PAD	-975.00	2925.00	0.000	POWER	VDD
A5	BGA_PAD	-325.00	2925.00	0.000	BI	SDIO_CMD
A6	BGA_PAD	325.00	2925.00	0.000	BI	SDIO_CLK
A7	BGA_PAD	975.00	2925.00	0.000	BI	SDIO_DATA0
A8	BGA_PAD	1625.00	2925.00	0.000	BI	SDIO_DATA1
A9	BGA_PAD	2275.00	2925.00	0.000	BI	UART_TX/BOOTMODE0/SDIO_DATA2
A10	BGA_PAD	2925.00	2925.00	0.000	BI	UART_RX_SDIODATA3
B1	BGA_PAD	-2925.00	2275.00	0.000	GROUND	VSS
B2	BGA_PAD	-2275.00	2275.00	0.000	POWER	VDD
B3	BGA_PAD	-1625.00	2275.00	0.000	POWER	VDD
B4	BGA_PAD	-975.00	2275.00	0.000	GROUND	AGND
B5	BGA_PAD	-325.00	2275.00	0.000	GROUND	AGND
B6	BGA_PAD	325.00	2275.00	0.000	GROUND	AGND
B7	BGA_PAD	975.00	2275.00	0.000	GROUND	AGND
B8	BGA_PAD	1625.00	2275.00	0.000	GROUND	AGND
B9	BGA_PAD	2275.00	2275.00	0.000	GROUND	AGND
B10	BGA_PAD	2925.00	2275.00	0.000	BI	DEMOD_RESET
C1	BGA_PAD	-2925.00	1625.00	0.000	POWER	VDDE18
C2	BGA_PAD	-2275.00	1625.00	0.000	POWER	VDD
