	1	2	3	4	5	6	7	8	9	10
A	VDD	VDD	VDD	VDD	SDIO_CMD	SDIO_CLK	SDIO_DATA0	SDIO_DATA1	UART_TX/BOOTMODE0/SDIO_DATA2	UART_RX_SDIODATA3
B	VSS	VDD	VDD	AGND	AGND	AGND	AGND	AGND	AGND	DEMOD_RESET
C	VDDE18	VDD	VDD	AGND	AGND	TUN_DGND	DVDD_1V2	AGND	VCO_FLT	AGND
D	VDDE18	VDDE18	VSS	VSS	DEMOD_CLKIN	TUN_CLKOUT	AVDD_1V2	AVDD18_TUNER	AGND	AGND
E	VDDE18	I2C_ADD2	VSS	XTAL_GND	VSS	AGND	AVDD_1V2	DVDD_3V3	AGND	RF_INP_UHF
F	SPIM_MISO	TEST_MODE_0	VSS	AVDD18_PLL	AGND_PLL	AGND	AVDD_3V3	AVDD_3V3	AGND	AGND
G	I2CM_SDA	TEST_MODE_1	VSS	AGND_DAC	AVDD18_DAC	AGND	DCOC1	DCOC2	RF_IND_UV2	RF_IND_UV1
H	I2CM_SCL	VSS	AGND_ADC	AGND_ADC	AVDD18_ADC	AGND	AGND	AGND	VSS	VSS
J	I2C_ADD3	VSS	VSS	VSS	VSS	S_SPI_CSN0/I2C_ADD1	S_SPI_CLK/S_I2C_SCL	S_SPI_MISO/I2C_ADD0	S_SPI_MOSI/S_I2C_SDA	BOOTMODE1
K	SPIM_CS1	VSS	JTAG_CLK	JTAG_TDO	JTAG_TMS	JTAG_TDI	OSC_GND	VDD18_OSC	RF_AGC	IF_AGC
