PAD #,X (um),Y (um),Pad Name,Net Name,Pad opening Size,BallNumber,Remark
1,-1322.86,920,DCOC1,DCOC1,50x50,G7,
2,-1322.86,820,DCOC2,DCOC2,50x50,G8,
3,-1322.86,720,BB_AVDD,AVDD_1V2,50x50,D7,
4,-1322.86,620,BB_AVSS,AGND,50x50,B5,
5,-1322.86,520,RESERVED,NC,50x50,,
6,-1322.86,420,RESERVED,NC,50x50,,
7,-1322.86,258.225,BB_AGC_VC,BB_AG_VC,50x50,,
8,-1322.86,140,RF_IND_V2,NC,50x50,,
9,-1322.86,40,RF_IND_V1,NC,50x50,,
10,-1322.86,-60,CAP1,CAP1,50x50,,
11,-1322.86,-160,HARD_PD,HARD_PD,50x50,,
12,-1322.86,-713.155,RF_IND_UV2,RF_IND_UV2,50x50,G9,
13,-1322.86,-813.155,RF_IND_UV1,RF_IND_UV1,50x50,G10,
14,-1322.86,-1000,AVSS,AGND,50x50,B6,
15,-1080,-1222.86,AVSS,AGND,50x50,B7,
16,-980,-1222.86,VC1,VC_RF,50x50,,
17,-880,-1222.86,VC2,VC_RF,50x50,,
18,-780,-1222.86,RF_LNA_AVSS2,AGND,50x50,B8,
19,-680,-1222.86,RF_INP,RF_INP_UHF,50x50,E10,Single_50
20,-580,-1222.86,RF_LNA_AVSS1,AGND,50x50,B9,
21,-480,-1222.86,RF_LNA_AVDD1,AVDD_1V2,50x50,D7,
22,-376.81,-1222.86,RF_LNA_AVDD2,AVDD_1V2,50x50,D7,
23,-266.81,-1222.86,RF_LNA_AVDD3,AVDD_1V2,50x50,D7,
24,-166.81,-1222.86,RF_LNA_AVSS,AGND,50x50,C5,
25,-66.81,-1222.86,RF_LNA_AVSS,AGND,50x50,C8,
26,33.19,-1222.86,VC3,VC3,50x50,,
27,133.19,-1222.86,VCO_SUB_SHIELD,AGND,50x50,C10,
28,230,-1222.86,VCO_FLT,VCO_FLT,50x50,C9,
29,320,-1222.86,QPUMP_FLT,VCO_FLT,50x50,C9,
30,410,-1222.86,QPUMP_AVDD,AVDD_1V2,50x50,E7,
31,510,-1222.86,VDD_VCO,AVDD_1V2,50x50,E7,
32,600,-1222.86,VCO_VSS,AGND,50x50,D9,
33,690,-1222.86,QPUMP_AVSS,AGND,50x50,D10,
34,780,-1222.86,SYNTH_AVSS,AGND,50x50,E6,
35,860,-1222.86,CLK_SEL_EXT,AVDD18_TUNER,50x50,D8,
36,940,-1222.86,CLK_TO_PAD,TUN_CLKOUT,50x50,D6,
37,1020,-1222.86,AVSS,AGND,50x50,E9,
38,1322.86,-1000,AVSS,AGND,50x50,F6,
39,1322.86,-920,XI,NC,50x50,,
40,1322.86,-860,XO,NC,50x50,,
41,1322.86,-770,EXT_CLK,EXT_CLK,50x50,,
42,1322.86,-680,RESERVED,AVDD18_TUNER,50x50,D8,
43,1322.86,-562.795,VDD_ESD_33V,DVDD_3V3,50x50,E8,
44,1322.86,-482.795,VDD_ESD_33V,DVDD_3V3,50x50,E8,
45,1322.86,-382.795,VSS_D_SYNTH,TUN_DGND,50x50,C6,
46,1322.86,-302.795,VSS,TUN_DGND,50x50,C6,
47,1322.86,-222.795,VSS_ESD,TUN_DGND,50x50,C6,
48,1322.86,-122.795,VDD_D_SYNTH,DVDD_1V2,50x50,C7,
49,1322.86,30,VDD,DVDD_1V2,50x50,C7,
50,1322.86,130,VDD_ESD,DVDD_1V2,50x50,C7,
51,1322.86,250,SYNTH_AVDD,AVDD_1V2,50x50,E7,
52,1322.86,350,CAP2,CAP2,50x50,,
53,1322.86,450,RESERVED,NC,50x50,,
54,1322.86,550,RESERVED,NC,50x50,,
55,1322.86,660,RF_MX_AVSS,AGND,50x50,F9,
56,1322.86,760,RF_MX_AVDD,AVDD_1V2,50x50,E7,
57,1322.86,850,SCL,I2CM_SCL,50x50,H1,
58,1322.86,940,SDA,I2CM_SDA,50x50,G1,
59,820,1222.86,RESET_N,TUNER_RESET,50x50,,
60,580,1222.86,IB_EXTR,IB_EXTR,50x50,,
61,480,1222.86,RESERVED,NC,50x50,,
62,380,1222.86,AVSS_BG,AGND,50x50,F10,
63,280,1222.86,AVDD3_BG,AVDD_3V3,50x50,F7,
64,180,1222.86,AVDD3_REG,AVDD_3V3,50x50,F7,
65,80,1222.86,AVDD3,AVDD_3V3,50x50,F8,
66,-120,1222.86,BB_VCM,NC,50x50,,
67,-720,1222.86,IF_OUT_Q_P,VINNQ,50x50,,DIFF_100
68,-820,1222.86,IF_OUT_Q_N,VINPQ,50x50,,
69,-920,1222.86,IF_OUT_I_N,VINNI,50x50,,DIFF_100
70,-1020,1222.86,IF_OUT_I_P,VINPI,50x50,,
