Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
1.	"L04-L05"	(-9850.0 -15675.0)
2.	"L09-L10"	(-10500.0 -15881.84)
3.	"L08-L09"	(-10489.39 -15779.31)
4.	"SMALL_PTH"	(-10500.0 -15500.0)
5.	"L03-L04"	(-10571.42 -15776.48)
6.	"L04-L05"	(-10500.0 -15705.06)
7.	"L01-L02"	(-10571.42 -15776.48)
8.	"L02-L03"	(-10500.0 -15705.06)
9.	"L07-L08"	(-10591.92 -15761.63)
10.	"L06-L07"	(-10500.0 -15705.06)
11.	"L01-L02"	(-9571.42 -16366.36)
12.	"L03-L04"	(-9571.42 -16366.36)
13.	"L03-L04"	(-9776.48 -16571.42)
14.	"L06-L07"	(-9500.0 -16294.94)
15.	"L04-L05"	(-9500.0 -16294.94)
16.	"SMALL_PTH"	(-9500.0 -16500.0)
17.	"L04-L05"	(-9705.06 -16500.0)
18.	"L07-L08"	(-9761.63 -16408.08)
19.	"L06-L07"	(-9705.06 -16500.0)
20.	"L08-L09"	(-9775.77 -16514.14)
21.	"L09-L10"	(-9881.84 -16500.0)
22.	"L03-L04"	(-9571.42 -16776.48)
23.	"L04-L05"	(-9500.0 -16705.06)
24.	"L01-L02"	(-9571.42 -16776.48)
25.	"L01-L02"	(-9776.48 -16571.42)
26.	"L02-L03"	(-9705.06 -16500.0)
27.	"L07-L08"	(-9591.92 -16761.63)
28.	"L06-L07"	(-9500.0 -16705.06)
29.	"L07-L08"	(-9591.92 -15761.63)
30.	"L07-L08"	(-10761.63 -16408.08)
31.	"L09-L10"	(-10881.84 -16500.0)
32.	"L07-L08"	(-10408.08 -16238.37)
33.	"L08-L09"	(-10510.61 -16220.69)
34.	"L09-L10"	(-10500.0 -16881.84)
35.	"L08-L09"	(-10489.39 -16779.31)
36.	"L07-L08"	(-10591.92 -16761.63)
37.	"L07-L08"	(-10238.37 -16591.92)
38.	"L08-L09"	(-10224.23 -16485.86)
39.	"L09-L10"	(-10118.16 -16500.0)
40.	"L09-L10"	(-10500.0 -16118.16)
41.	"L08-L09"	(-10779.31 -16510.61)
42.	"L07-L08"	(-9730.0 -16000.0)
43.	"L06-L07"	(-9831.0 -16000.0)
44.	"SMALL_PTH"	(-9500.0 -16000.0)
45.	"L04-L05"	(-9829.0 -16000.0)
46.	"L07-L08"	(-10051.0 -16000.0)
47.	"L06-L07"	(-10169.0 -16000.0)
48.	"L04-L05"	(-10171.0 -16000.0)
49.	"SMALL_PTH"	(-10500.0 -16000.0)
50.	"L08-L10"	(-10054.0 -15001.0)
51.	"L08-L09"	(-9690.0 -14705.0)
52.	"L09-L10"	(-9770.0 -14770.0)
53.	"L04-L05"	(-9645.0 -14645.0)
54.	"L02-L03"	(-9645.0 -14645.0)
55.	"L06-L07"	(-9645.0 -14645.0)
56.	"L07-L08"	(-9750.0 -14620.0)
57.	"SMALL_PTH"	(-9500.0 -14500.0)
58.	"L06-L07"	(-9645.0 -14355.0)
59.	"L04-L05"	(-9645.0 -14355.0)
60.	"L02-L03"	(-9645.0 -14355.0)
61.	"L09-L10"	(-10118.16 -15500.0)
62.	"L08-L09"	(-10220.69 -15489.39)
63.	"L07-L08"	(-10238.37 -15591.92)
64.	"L06-L07"	(-10294.94 -15500.0)
65.	"L01-L02"	(-10366.36 -15571.42)
66.	"L02-L03"	(-10294.94 -15500.0)
67.	"L04-L05"	(-10294.94 -15500.0)
68.	"L02-L03"	(-10500.0 -15294.94)
69.	"L01-L02"	(-10571.42 -15366.36)
70.	"L03-L04"	(-10571.42 -15366.36)
71.	"L03-L04"	(-10776.48 -15571.42)
72.	"L07-L08"	(-10408.08 -15238.37)
73.	"L06-L07"	(-10500.0 -15294.94)
74.	"L04-L05"	(-10500.0 -15294.94)
75.	"L04-L05"	(-10705.06 -15500.0)
76.	"L06-L07"	(-10705.06 -15500.0)
77.	"L07-L08"	(-10761.63 -15408.08)
78.	"L08-L09"	(-10775.77 -15514.14)
79.	"L09-L10"	(-10881.84 -15500.0)
80.	"L09-L10"	(-10500.0 -15118.16)
81.	"L08-L09"	(-10510.61 -15220.69)
82.	"L01-L02"	(-10776.48 -15571.42)
83.	"L02-L03"	(-10705.06 -15500.0)
84.	"L03-L04"	(-10366.36 -15571.42)
85.	"L08-L09"	(-9737.31 -15556.61)
86.	"L09-L10"	(-9881.84 -15500.0)
87.	"L07-L08"	(-9761.63 -15408.08)
88.	"L07-L08"	(-10739.0 -14422.0)
89.	"L07-L08"	(-10250.0 -14380.0)
90.	"L09-L10"	(-10230.0 -14770.0)
91.	"L08-L09"	(-10295.0 -14685.0)
92.	"L07-L08"	(-10380.0 -14750.0)
93.	"L07-L08"	(-10750.0 -14620.0)
94.	"L09-L10"	(-10770.0 -14770.0)
95.	"L08-L09"	(-10690.0 -14705.0)
96.	"L07-L08"	(-10000.0 -14570.0)
97.	"L06-L07"	(-10000.0 -14754.0)
98.	"SMALL_PTH"	(-10000.0 -15000.0)
99.	"L04-L05"	(-9795.0 -14815.0)
100.	"L08-L10"	(-10344.0 -14112.0)
101.	"L08-L10"	(-10698.0 -14060.0)
102.	"L07-L08"	(-9620.0 -14250.0)
103.	"L09-L10"	(-9770.0 -14230.0)
104.	"L08-L09"	(-9705.0 -14310.0)
105.	"L09-L10"	(-10500.0 -13881.84)
106.	"L08-L09"	(-10357.39 -13940.31)
107.	"L09-L10"	(-10118.16 -13500.0)
108.	"L08-L09"	(-10220.69 -13489.39)
109.	"L07-L08"	(-10238.37 -13591.92)
110.	"L06-L07"	(-10294.94 -13500.0)
111.	"L01-L02"	(-10366.36 -13571.42)
112.	"L02-L03"	(-10294.94 -13500.0)
113.	"L04-L05"	(-10294.94 -13500.0)
114.	"L02-L03"	(-10500.0 -13294.94)
115.	"L01-L02"	(-10571.42 -13366.36)
116.	"L03-L04"	(-10571.42 -13366.36)
117.	"L03-L04"	(-10776.48 -13571.42)
118.	"L07-L08"	(-10345.08 -13291.37)
119.	"L06-L07"	(-10500.0 -13294.94)
120.	"L04-L05"	(-10500.0 -13294.94)
121.	"SMALL_PTH"	(-10500.0 -13500.0)
122.	"L04-L05"	(-10705.06 -13500.0)
123.	"L06-L07"	(-10705.06 -13500.0)
124.	"L07-L08"	(-10761.63 -13408.08)
125.	"L08-L09"	(-10775.77 -13514.14)
126.	"L09-L10"	(-10881.84 -13500.0)
127.	"L09-L10"	(-10500.0 -13118.16)
128.	"L08-L09"	(-10345.61 -13119.69)
129.	"L03-L04"	(-10571.42 -13776.48)
130.	"L04-L05"	(-10500.0 -13705.06)
131.	"L01-L02"	(-10571.42 -13776.48)
132.	"L02-L03"	(-10500.0 -13705.06)
133.	"L01-L02"	(-10776.48 -13571.42)
134.	"L02-L03"	(-10705.06 -13500.0)
135.	"L03-L04"	(-10366.36 -13571.42)
136.	"L07-L08"	(-10349.92 -13814.63)
137.	"L06-L07"	(-10500.0 -13705.06)
138.	"L04-L05"	(-9850.0 -13275.0)
139.	"L08-L09"	(-10705.0 -14310.0)
140.	"L09-L10"	(-10230.0 -14230.0)
141.	"L08-L09"	(-10310.0 -14295.0)
142.	"L09-L10"	(-10770.0 -14230.0)
143.	"L07-L08"	(-9761.63 -13408.08)
144.	"L09-L10"	(-9881.84 -13500.0)
145.	"L04-L05"	(-9500.0 -13294.94)
146.	"L06-L07"	(-9500.0 -13294.94)
147.	"L07-L08"	(-9591.92 -13761.63)
148.	"L06-L07"	(-9500.0 -13705.06)
149.	"L04-L05"	(-9500.0 -13705.06)
150.	"SMALL_PTH"	(-9500.0 -13500.0)
151.	"L08-L09"	(-9779.31 -13510.61)
152.	"L06-L07"	(-9705.06 -13500.0)
153.	"L03-L04"	(-9633.64 -13428.58)
154.	"L04-L05"	(-9705.06 -13500.0)
155.	"L02-L03"	(-10949.0 -14142.0)
156.	"L03-L04"	(-10857.0 -14093.0)
157.	"L04-L05"	(-9800.0 -12050.0)
158.	"L01-L02"	(-9800.0 -12875.0)
159.	"L01-L02"	(-9975.0 -12250.0)
160.	"L08-L10"	(-9668.0 -11985.0)
161.	"L08-L10"	(-10351.0 -11995.0)
162.	"L08-L10"	(-10703.0 -11970.0)
163.	"L08-L10"	(-10326.0 -12946.0)
164.	"L08-L10"	(-10722.0 -12950.0)
165.	"L08-L10"	(-10044.0 -11811.0)
166.	"L03-L04"	(-9645.0 -11746.0)
167.	"L09-L10"	(-9770.0 -11770.0)
168.	"SMALL_PTH"	(-9500.0 -11500.0)
169.	"L03-L04"	(-10355.0 -12254.0)
170.	"L02-L03"	(-10355.0 -12355.0)
171.	"L04-L05"	(-10355.0 -12355.0)
172.	"SMALL_PTH"	(-10500.0 -12500.0)
173.	"L06-L07"	(-10355.0 -12355.0)
174.	"L07-L08"	(-10250.0 -12380.0)
175.	"L08-L09"	(-10315.0 -12295.0)
176.	"L09-L10"	(-10230.0 -12230.0)
177.	"L04-L05"	(-9500.0 -12705.06)
178.	"SMALL_PTH"	(-9500.0 -12500.0)
179.	"L06-L07"	(-9500.0 -12705.06)
180.	"L07-L08"	(-9591.92 -12761.63)
181.	"L01-L02"	(-10175.0 -11625.0)
182.	"L01-L02"	(-10575.0 -11050.0)
183.	"L08-L10"	(-10040.0 -10761.0)
184.	"L08-L10"	(-9628.0 -10989.0)
185.	"L08-L10"	(-10708.0 -11039.0)
186.	"L08-L10"	(-10316.0 -11044.0)
187.	"L04-L05"	(-9775.0 -10375.0)
188.	"L04-L05"	(-9675.0 -10850.0)
189.	"L09-L10"	(-9770.0 -11230.0)
190.	"L07-L08"	(-9620.0 -11250.0)
191.	"L06-L07"	(-9645.0 -11355.0)
192.	"L04-L05"	(-9645.0 -11645.0)
193.	"L03-L04"	(-9645.0 -11456.0)
194.	"L04-L05"	(-9645.0 -11355.0)
195.	"L07-L08"	(-9750.0 -11620.0)
196.	"L08-L09"	(-9685.0 -11705.0)
197.	"L06-L07"	(-9645.0 -11645.0)
198.	"L08-L09"	(-9705.0 -11310.0)
199.	"L03-L04"	(-10645.0 -10746.0)
200.	"L02-L03"	(-10645.0 -10645.0)
201.	"L04-L05"	(-10645.0 -10645.0)
202.	"SMALL_PTH"	(-10500.0 -10500.0)
203.	"L06-L07"	(-10645.0 -10645.0)
204.	"L07-L08"	(-10750.0 -10620.0)
205.	"L08-L09"	(-10685.0 -10705.0)
206.	"L09-L10"	(-10770.0 -10770.0)
207.	"L09-L10"	(-10118.16 -11500.0)
208.	"L08-L09"	(-10224.23 -11485.86)
209.	"L09-L10"	(-9761.0 -10764.0)
210.	"L08-L09"	(-9762.0 -10872.0)
211.	"L04-L05"	(-10955.0 -9655.0)
212.	"L04-L05"	(-10600.0 -9175.0)
213.	"L01-L02"	(-10550.0 -9525.0)
214.	"L01-L02"	(-9575.0 -10400.0)
215.	"L08-L10"	(-9772.0 -10152.0)
216.	"L08-L10"	(-10039.0 -9870.0)
217.	"L09-L10"	(-9770.0 -9230.0)
218.	"L07-L08"	(-9620.0 -9250.0)
219.	"L06-L07"	(-9645.0 -9355.0)
220.	"L01-L02"	(-9645.0 -9746.0)
221.	"L03-L04"	(-9645.0 -9746.0)
222.	"L02-L03"	(-9645.0 -9645.0)
223.	"L04-L05"	(-9645.0 -9645.0)
224.	"L02-L03"	(-9645.0 -9355.0)
225.	"L03-L04"	(-9645.0 -9456.0)
226.	"L01-L02"	(-9645.0 -9456.0)
227.	"L04-L05"	(-9645.0 -9355.0)
228.	"L07-L08"	(-9750.0 -9620.0)
229.	"L08-L09"	(-9856.0 -9663.0)
230.	"L09-L10"	(-9770.0 -9770.0)
231.	"SMALL_PTH"	(-9500.0 -9500.0)
232.	"L06-L07"	(-9645.0 -9645.0)
233.	"L08-L09"	(-9705.0 -9310.0)
234.	"L04-L05"	(-10225.0 -9700.0)
235.	"SMALL_PTH"	(-10500.0 -9500.0)
236.	"L03-L04"	(-10428.58 -9776.48)
237.	"L02-L03"	(-10500.0 -9705.06)
238.	"L04-L05"	(-10500.0 -9705.06)
239.	"L06-L07"	(-10500.0 -9705.06)
240.	"L07-L08"	(-10591.92 -9761.63)
241.	"L08-L09"	(-10485.86 -9775.77)
242.	"L09-L10"	(-10500.0 -9881.84)
243.	"L04-L05"	(-10146.0 -10194.0)
244.	"SMALL_PTH"	(-10000.0 -10000.0)
245.	"L06-L07"	(-9942.0 -10207.0)
246.	"L07-L08"	(-9912.0 -10319.0)
247.	"SMALL_PTH"	(-10000.0 -9000.0)
248.	"L04-L05"	(-10000.0 -9227.0)
249.	"L04-L05"	(-10225.0 -7875.0)
250.	"L04-L05"	(-10075.0 -8575.0)
251.	"L01-L02"	(-9700.0 -8975.0)
252.	"L08-L10"	(-9989.0 -8414.0)
253.	"L08-L10"	(-10225.0 -8172.0)
254.	"L08-L10"	(-10102.0 -9053.0)
255.	"L08-L10"	(-10832.0 -8190.0)
256.	"L08-L10"	(-9958.0 -7887.0)
257.	"L08-L10"	(-10763.0 -8982.0)
258.	"L04-L05"	(-10355.0 -8645.0)
259.	"SMALL_PTH"	(-10500.0 -8500.0)
260.	"L06-L07"	(-10355.0 -8645.0)
261.	"L07-L08"	(-10380.0 -8750.0)
262.	"L08-L09"	(-10295.0 -8685.0)
263.	"L09-L10"	(-10230.0 -8770.0)
264.	"L04-L05"	(-9717.0 -8710.0)
265.	"SMALL_PTH"	(-9500.0 -8500.0)
266.	"L06-L07"	(-9645.0 -8645.0)
267.	"L07-L08"	(-9750.0 -8620.0)
268.	"L08-L09"	(-9685.0 -8705.0)
269.	"L09-L10"	(-9770.0 -8770.0)
270.	"L07-L08"	(-10002.0 -8647.0)
271.	"L06-L07"	(-10000.0 -8775.0)
272.	"L04-L05"	(-10225.0 -7400.0)
273.	"L01-L02"	(-9675.0 -7825.0)
274.	"L08-L09"	(-9705.0 -7310.0)
275.	"L06-L07"	(-9645.0 -7645.0)
276.	"L09-L10"	(-9770.0 -7770.0)
277.	"L08-L09"	(-9685.0 -7705.0)
278.	"L07-L08"	(-9569.0 -7747.0)
279.	"L06-L07"	(-9645.0 -7355.0)
280.	"L07-L08"	(-9620.0 -7250.0)
281.	"L09-L10"	(-9770.0 -7230.0)
282.	"L04-L05"	(-9640.0 -7110.0)
283.	"L03-L04"	(-9645.0 -6746.0)
284.	"L02-L03"	(-9645.0 -6645.0)
285.	"L04-L05"	(-9645.0 -6645.0)
286.	"SMALL_PTH"	(-9500.0 -6500.0)
287.	"L06-L07"	(-9645.0 -6645.0)
288.	"L07-L08"	(-9750.0 -6620.0)
289.	"L08-L09"	(-9685.0 -6705.0)
290.	"L09-L10"	(-9770.0 -6770.0)
291.	"L04-L05"	(-10355.0 -6645.0)
292.	"SMALL_PTH"	(-10500.0 -6500.0)
293.	"L06-L07"	(-10355.0 -6645.0)
294.	"L07-L08"	(-10380.0 -6750.0)
295.	"L08-L09"	(-10295.0 -6685.0)
296.	"L09-L10"	(-10230.0 -6770.0)
297.	"L03-L04"	(-10462.0 -7719.0)
298.	"L02-L03"	(-10355.0 -7645.0)
299.	"L04-L05"	(-10355.0 -7645.0)
300.	"SMALL_PTH"	(-10500.0 -7500.0)
301.	"L06-L07"	(-10355.0 -7645.0)
302.	"L07-L08"	(-10380.0 -7750.0)
303.	"L08-L09"	(-10295.0 -7685.0)
304.	"L09-L10"	(-10230.0 -7770.0)
305.	"L04-L05"	(-9665.0 -5235.0)
306.	"L04-L05"	(-10890.0 -5785.0)
307.	"L04-L05"	(-9980.0 -6310.0)
308.	"L04-L05"	(-10355.0 -5645.0)
309.	"SMALL_PTH"	(-10500.0 -5500.0)
310.	"L06-L07"	(-10355.0 -5645.0)
311.	"L07-L08"	(-10380.0 -5750.0)
312.	"L08-L09"	(-10295.0 -5685.0)
313.	"L09-L10"	(-10230.0 -5770.0)
314.	"L03-L04"	(-9645.0 -5746.0)
315.	"L02-L03"	(-9645.0 -5645.0)
316.	"L04-L05"	(-9645.0 -5645.0)
317.	"SMALL_PTH"	(-9500.0 -5500.0)
318.	"L06-L07"	(-9645.0 -5645.0)
319.	"L07-L08"	(-9750.0 -5620.0)
320.	"L08-L09"	(-9685.0 -5705.0)
321.	"L09-L10"	(-9770.0 -5770.0)
322.	"L04-L05"	(-10880.0 -5055.0)
323.	"L01-L02"	(-10025.0 -4800.0)
324.	"L09-L10"	(-9770.0 -4230.0)
325.	"L07-L08"	(-9620.0 -4250.0)
326.	"L06-L07"	(-9645.0 -4355.0)
327.	"L01-L02"	(-9645.0 -4746.0)
328.	"L03-L04"	(-9645.0 -4746.0)
329.	"L02-L03"	(-9645.0 -4645.0)
330.	"L04-L05"	(-9645.0 -4645.0)
331.	"L02-L03"	(-9645.0 -4355.0)
332.	"L03-L04"	(-9645.0 -4456.0)
333.	"L01-L02"	(-9645.0 -4456.0)
334.	"L04-L05"	(-9645.0 -4355.0)
335.	"L07-L08"	(-9750.0 -4620.0)
336.	"L08-L09"	(-9685.0 -4705.0)
337.	"L09-L10"	(-9770.0 -4770.0)
338.	"SMALL_PTH"	(-9500.0 -4500.0)
339.	"L06-L07"	(-9645.0 -4645.0)
340.	"L08-L09"	(-9705.0 -4310.0)
341.	"L04-L05"	(-10915.0 -3985.0)
342.	"L04-L05"	(-10110.0 -4800.0)
343.	"L04-L05"	(-10280.0 -4080.0)
344.	"L03-L04"	(-10254.0 -4645.0)
345.	"L02-L03"	(-10355.0 -4645.0)
346.	"L04-L05"	(-10355.0 -4645.0)
347.	"SMALL_PTH"	(-10500.0 -4500.0)
348.	"L06-L07"	(-10355.0 -4645.0)
349.	"L07-L08"	(-10380.0 -4750.0)
350.	"L08-L09"	(-10295.0 -4685.0)
351.	"L09-L10"	(-10230.0 -4770.0)
352.	"L04-L05"	(-10805.0 -3650.0)
353.	"L03-L04"	(-9645.0 -2746.0)
354.	"L04-L05"	(-9645.0 -2645.0)
355.	"L08-L09"	(-9685.0 -2705.0)
356.	"L09-L10"	(-9770.0 -2770.0)
357.	"SMALL_PTH"	(-9500.0 -2500.0)
358.	"L06-L07"	(-9645.0 -2645.0)
359.	"L04-L05"	(-10355.0 -2645.0)
360.	"SMALL_PTH"	(-10500.0 -2500.0)
361.	"L06-L07"	(-10355.0 -2645.0)
362.	"L07-L08"	(-10380.0 -2750.0)
363.	"L08-L09"	(-10295.0 -2685.0)
364.	"L09-L10"	(-10230.0 -2770.0)
365.	"SMALL_PTH"	(-9500.0 -3500.0)
366.	"L03-L04"	(-10254.0 -3645.0)
367.	"L02-L03"	(-10355.0 -3645.0)
368.	"L04-L05"	(-10355.0 -3645.0)
369.	"SMALL_PTH"	(-10500.0 -3500.0)
370.	"L06-L07"	(-10355.0 -3645.0)
371.	"L07-L08"	(-10380.0 -3750.0)
372.	"L08-L09"	(-10295.0 -3685.0)
373.	"L09-L10"	(-10230.0 -3770.0)
374.	"L09-L10"	(-9770.0 -2230.0)
375.	"L07-L08"	(-9620.0 -2250.0)
376.	"L06-L07"	(-9645.0 -2355.0)
377.	"L03-L04"	(-9645.0 -2456.0)
378.	"L04-L05"	(-9645.0 -2355.0)
379.	"L07-L08"	(-9750.0 -2620.0)
380.	"L08-L09"	(-9705.0 -2310.0)
381.	"L04-L05"	(-9596.0 -1695.0)
382.	"SMALL_PTH"	(-9500.0 -1500.0)
